01-Jan-2024 00:00:00,INTER_MOYLE,NI,
01-Jan-2024 00:15:00,INTER_MOYLE,NI,
01-Jan-2024 00:30:00,INTER_MOYLE,NI,
01-Jan-2024 00:45:00,INTER_MOYLE,NI,
01-Jan-2024 01:00:00,INTER_MOYLE,NI,
01-Jan-2024 01:15:00,INTER_MOYLE,NI,
01-Jan-2024 01:30:00,INTER_MOYLE,NI,
01-Jan-2024 01:45:00,INTER_MOYLE,NI,
01-Jan-2024 02:00:00,INTER_MOYLE,NI,
01-Jan-2024 02:15:00,INTER_MOYLE,NI,
01-Jan-2024 02:30:00,INTER_MOYLE,NI,
01-Jan-2024 02:45:00,INTER_MOYLE,NI,
01-Jan-2024 03:00:00,INTER_MOYLE,NI,
01-Jan-2024 03:15:00,INTER_MOYLE,NI,
01-Jan-2024 03:30:00,INTER_MOYLE,NI,
01-Jan-2024 03:45:00,INTER_MOYLE,NI,
01-Jan-2024 04:00:00,INTER_MOYLE,NI,
01-Jan-2024 04:15:00,INTER_MOYLE,NI,
01-Jan-2024 04:30:00,INTER_MOYLE,NI,
01-Jan-2024 04:45:00,INTER_MOYLE,NI,
01-Jan-2024 05:00:00,INTER_MOYLE,NI,
01-Jan-2024 05:15:00,INTER_MOYLE,NI,
01-Jan-2024 05:30:00,INTER_MOYLE,NI,
01-Jan-2024 05:45:00,INTER_MOYLE,NI,
01-Jan-2024 06:00:00,INTER_MOYLE,NI,
01-Jan-2024 06:15:00,INTER_MOYLE,NI,
01-Jan-2024 06:30:00,INTER_MOYLE,NI,
01-Jan-2024 06:45:00,INTER_MOYLE,NI,
01-Jan-2024 07:00:00,INTER_MOYLE,NI,
01-Jan-2024 07:15:00,INTER_MOYLE,NI,
01-Jan-2024 07:30:00,INTER_MOYLE,NI,
01-Jan-2024 07:45:00,INTER_MOYLE,NI,
01-Jan-2024 08:00:00,INTER_MOYLE,NI,
01-Jan-2024 08:15:00,INTER_MOYLE,NI,
01-Jan-2024 08:30:00,INTER_MOYLE,NI,
01-Jan-2024 08:45:00,INTER_MOYLE,NI,
01-Jan-2024 09:00:00,INTER_MOYLE,NI,
01-Jan-2024 09:15:00,INTER_MOYLE,NI,
01-Jan-2024 09:30:00,INTER_MOYLE,NI,
01-Jan-2024 09:45:00,INTER_MOYLE,NI,
